Timestamp	SG_01_signal	SG_01_time1	SG_02_signal	SG_02_time1	SG_04_signal	SG_04_time1	SG_06_signal	SG_06_time1	SG_07_signal	SG_07_time1	SG_08_signal	SG_08_time1
1	protectMove	22	permisvMove	27.5	stop&Remain	46.5	protectMove	39	stop&Remain	44.5	stop&Remain	44.5
2	protectMove	21	permisvMove	26.5	stop&Remain	45.5	protectMove	38	stop&Remain	43.5	stop&Remain	43.5
3	protectMove	20	permisvMove	25.5	stop&Remain	44.5	protectMove	37	stop&Remain	42.5	stop&Remain	42.5
4	protectMove	19	permisvMove	24.5	stop&Remain	43.5	protectMove	36	stop&Remain	41.5	stop&Remain	41.5
5	protectMove	18	permisvMove	23.5	stop&Remain	42.5	protectMove	35	stop&Remain	40.5	stop&Remain	40.5
6	protectMove	17	permisvMove	22.5	stop&Remain	41.5	protectMove	34	stop&Remain	39.5	stop&Remain	39.5
7	protectMove	16	permisvMove	21.5	stop&Remain	40.5	protectMove	33	stop&Remain	38.5	stop&Remain	38.5
8	protectMove	15	permisvMove	20.5	stop&Remain	39.5	protectMove	32	stop&Remain	37.5	stop&Remain	37.5
9	protectMove	14	permisvMove	19.5	stop&Remain	38.5	protectMove	31	stop&Remain	36.5	stop&Remain	36.5
10	protectMove	13	permisvMove	18.5	stop&Remain	37.5	protectMove	30	stop&Remain	35.5	stop&Remain	35.5
11	protectMove	12	permisvMove	17.5	stop&Remain	35.5	protectMove	29	stop&Remain	34.5	stop&Remain	34.5
12	protectMove	11	permisvMove	16.5	stop&Remain	33.5	protectMove	28	stop&Remain	33.5	stop&Remain	33.5
13	protectMove	10	permisvMove	15.5	stop&Remain	32.5	protectMove	27	stop&Remain	32.5	stop&Remain	32.5
14	protectMove	9	permisvMove	14.5	stop&Remain	31.5	protectMove	26	stop&Remain	31.5	stop&Remain	31.5
15	protectMove	8	permisvMove	13.5	stop&Remain	30.5	protectMove	25	stop&Remain	30.5	stop&Remain	30.5
16	protectMove	7	permisvMove	12.5	stop&Remain	29.5	protectMove	24	stop&Remain	29.5	stop&Remain	29.5
17	protectMove	6	permisvMove	11.5	stop&Remain	28.5	protectMove	23	stop&Remain	28.5	stop&Remain	28.5
18	protectMove	5	permisvMove	10.5	stop&Remain	27.5	protectMove	22	stop&Remain	27.5	stop&Remain	27.5
19	protectMove	4	permisvMove	9.5	stop&Remain	26.5	protectMove	21	stop&Remain	26.5	stop&Remain	26.5
20	protectMove	3	permisvMove	8.5	stop&Remain	25.5	protectMove	20	stop&Remain	25.5	stop&Remain	25.5
21	protectMove	2	permisvMove	7.5	stop&Remain	24.5	protectMove	19	stop&Remain	24.5	stop&Remain	24.5
22	protectMove	1	permisvMove	6.5	stop&Remain	23.5	protectMove	18	stop&Remain	23.5	stop&Remain	23.5
23	protectClr	3.5	permisvMove	5.5	stop&Remain	22.5	protectMove	17	stop&Remain	22.5	stop&Remain	22.5
24	protectClr	2.5	permisvMove	4.5	stop&Remain	21.5	protectMove	16	stop&Remain	21.5	stop&Remain	21.5
25	protectClr	1.4	permisvMove	3.5	stop&Remain	20.5	protectMove	15	stop&Remain	20.5	stop&Remain	20.5
26	protectClr	0.4	permisvMove	2.5	stop&Remain	19.5	protectMove	14	stop&Remain	19.5	stop&Remain	19.5
27	stop&Remain	1.4	permisvMove	1.4	stop&Remain	18.5	protectMove	13	stop&Remain	18.5	stop&Remain	18.5
28	stop&Remain	0.4	permisvMove	0.4	stop&Remain	17.5	protectMove	12	stop&Remain	17.5	stop&Remain	17.5
29	stop&Remain	105.9	protectMove	10.9	stop&Remain	85.4	protectMove	10.9	stop&Remain	96.3	stop&Remain	96.3
